,Vessel_Name,URL
0,SEA STAR 1,https://www.myshiptracking.com/vessels/vessels/sea-star-1-mmsi-636023450-imo-9444974
1,BOLERO,https://www.myshiptracking.com/vessels/vessels/bolero-mmsi-244000542-imo-0
2,ELBPHILHARMONIE,https://www.myshiptracking.com/vessels/vessels/elbphilharmonie-mmsi-211762670-imo-0
3,ABC SUN,https://www.myshiptracking.com/vessels/vessels/abc-sun-mmsi-352002913-imo-9416329
4,MERCUR 102,https://www.myshiptracking.com/vessels/vessels/mercur-102-mmsi-264163187-imo-0
5,BENNIE JOLINK,https://www.myshiptracking.com/vessels/vessels/bennie-jolink-mmsi-244860580-imo-0
6,JOGO 1,https://www.myshiptracking.com/vessels/vessels/jogo-1-mmsi-205255290-imo-0
7,GERMATON,https://www.myshiptracking.com/vessels/vessels/germaton-mmsi-244690244-imo-0
8,VERA MOON,https://www.myshiptracking.com/vessels/vessels/vera-moon-mmsi-577609000-imo-9075357
9,SCHNATERMANN,https://www.myshiptracking.com/vessels/vessels/schnatermann-mmsi-211558470-imo-0
10,MACLEAY,https://www.myshiptracking.com/vessels/vessels/macleay-mmsi-503016010-imo-9654737
11,ALGOMA EQUINOX,https://www.myshiptracking.com/vessels/vessels/algoma-equinox-mmsi-316009090-imo-9613927
12,ALGOSAIBI 7,https://www.myshiptracking.com/vessels/vessels/algosaibi-7-mmsi-403731310-imo-3137500
13,ANTONG SEA,https://www.myshiptracking.com/vessels/vessels/antong-sea-mmsi-352004263-imo-9239991
14,NELSON MANDELA,https://www.myshiptracking.com/vessels/vessels/nelson-mandela-mmsi-244260496-imo-0
15,OSIA METHODIA,https://www.myshiptracking.com/vessels/vessels/osia-methodia-mmsi-240220400-imo-9891622
16,ADNOC  510,https://www.myshiptracking.com/vessels/vessels/adnoc-510-mmsi-470898000-imo-9397810
17,OESTERBRIS,https://www.myshiptracking.com/vessels/vessels/oesterbris-mmsi-257372000-imo-9662526
18,SVITZER STANLOW,https://www.myshiptracking.com/vessels/vessels/svitzer-stanlow-mmsi-235010620-imo-9352793
19,COMOX CROWN,https://www.myshiptracking.com/vessels/vessels/comox-crown-mmsi-316003664-imo-0
20,CHARLIE-C,https://www.myshiptracking.com/vessels/vessels/charlie-c-mmsi-366961220-imo-7237468
21,CAPT. RICK NEALE,https://www.myshiptracking.com/vessels/vessels/capt-rick-neale-mmsi-367519160-imo-100277013
22,VIKING ORVAR,https://www.myshiptracking.com/vessels/vessels/viking-orvar-mmsi-269057710-imo-0
23,TRILLEEN SOLO SAILOR,https://www.myshiptracking.com/vessels/vessels/trilleen-solo-sailor-mmsi-232033736-imo-
24,MAUREENN,https://www.myshiptracking.com/vessels/vessels/maureenn-mmsi-244863910-imo-
25,PODGORINA,https://www.myshiptracking.com/vessels/vessels/podgorina-mmsi-279202328-imo-0
26,NEW CENTURY 1,https://www.myshiptracking.com/vessels/vessels/new-century-1-mmsi-355234000-imo-9229398
27,MENARO,https://www.myshiptracking.com/vessels/vessels/menaro-mmsi-636017171-imo-9718002
28,FADAM 3,https://www.myshiptracking.com/vessels/vessels/fadam-3-mmsi-244060259-imo-0
29,LOS 099,https://www.myshiptracking.com/vessels/vessels/los-099-mmsi-258507000-imo-0
30,ESVAGT SCHELDE,https://www.myshiptracking.com/vessels/vessels/esvagt-schelde-mmsi-219026491-imo-9878967
31,MINGYANG628,https://www.myshiptracking.com/vessels/vessels/mingyang628-mmsi-413871164-imo-
32,SPREE,https://www.myshiptracking.com/vessels/vessels/spree-mmsi-211471640-imo-0
33,INTERLOPER,https://www.myshiptracking.com/vessels/vessels/interloper-mmsi-503057710-imo-
34,NORDHAVET,https://www.myshiptracking.com/vessels/vessels/nordhavet-mmsi-257062150-imo-9818412
35,TB.TEPAT,https://www.myshiptracking.com/vessels/vessels/tbtepat-mmsi-525002007-imo-951206800
36,TURKUAZ,https://www.myshiptracking.com/vessels/vessels/turkuaz-mmsi-271048963-imo-
37,HONTEPLUS,https://www.myshiptracking.com/vessels/vessels/honteplus-mmsi-244670298-imo-0
38,S/Y SERENITY,https://www.myshiptracking.com/vessels/vessels/s-y-serenity-mmsi-368265840-imo-0
39,WINDEA LA COUR,https://www.myshiptracking.com/vessels/vessels/windea-la-cour-mmsi-255915570-imo-9769025
40,F/V FELIR,https://www.myshiptracking.com/vessels/vessels/f-v-felir-mmsi-228267900-imo-9099547
41,TARFFAH 1,https://www.myshiptracking.com/vessels/vessels/tarffah-1-mmsi-470159000-imo-9795347
42,SILS-1,https://www.myshiptracking.com/vessels/vessels/sils-1-mmsi-470037000-imo-9904376
43,LARRY C,https://www.myshiptracking.com/vessels/vessels/larry-c-mmsi-368050920-imo-0
44,KORSHOLMEN,https://www.myshiptracking.com/vessels/vessels/korsholmen-mmsi-259695000-imo-9216951
45,SEISKJER,https://www.myshiptracking.com/vessels/vessels/seiskjer-mmsi-258027970-imo-0
46,HELNESSUND,https://www.myshiptracking.com/vessels/vessels/helnessund-mmsi-257032310-imo-9817810
47,SAAM CLYDE,https://www.myshiptracking.com/vessels/vessels/saam-clyde-mmsi-316011473-imo-9190391
48,BLUE IGUANA,https://www.myshiptracking.com/vessels/vessels/blue-iguana-mmsi-244130321-imo-
49,PLAN B,https://www.myshiptracking.com/vessels/vessels/plan-b-mmsi-232032327-imo-0
50,RESCUE B KYRKJEBOE,https://www.myshiptracking.com/vessels/vessels/rescue-b-kyrkjeboe-mmsi-258150500-imo-0
51,SILVA MARQUES,https://www.myshiptracking.com/vessels/vessels/silva-marques-mmsi-204242000-imo-0
52,HEGEMANN I,https://www.myshiptracking.com/vessels/vessels/hegemann-i-mmsi-211223190-imo-9113070
53,TMS RANOD,https://www.myshiptracking.com/vessels/vessels/tms-ranod-mmsi-567628000-imo-998750000
54,MARIE-THERESE,https://www.myshiptracking.com/vessels/vessels/marie-therese-mmsi-228145390-imo-
55,ZEUS LEADER,https://www.myshiptracking.com/vessels/vessels/zeus-leader-mmsi-432712000-imo-0
56,BOATMAN1,https://www.myshiptracking.com/vessels/vessels/boatman1-mmsi-244780737-imo-0
57,TONIC,https://www.myshiptracking.com/vessels/vessels/tonic-mmsi-367700190-imo-
58,NORDIC,https://www.myshiptracking.com/vessels/vessels/nordic-mmsi-636022737-imo-9309007
59,KOKORO,https://www.myshiptracking.com/vessels/vessels/kokoro-mmsi-319201500-imo-9868845
60,MARIO RUIVO,https://www.myshiptracking.com/vessels/vessels/mario-ruivo-mmsi-263762000-imo-8402010
61,XIANG XING 8899,https://www.myshiptracking.com/vessels/vessels/xiang-xing-8899-mmsi-352004983-imo-1098846
62,EILTANK7,https://www.myshiptracking.com/vessels/vessels/eiltank7-mmsi-211436850-imo-0
63,MALKA,https://www.myshiptracking.com/vessels/vessels/malka-mmsi-205418070-imo-
64,DAE SUNG 6003HO,https://www.myshiptracking.com/vessels/vessels/dae-sung-6003ho-mmsi-440741400-imo-0
65,HENDRIK-KLAAS,https://www.myshiptracking.com/vessels/vessels/hendrik-klaas-mmsi-244900117-imo-0
66,MINERVA EMILY,https://www.myshiptracking.com/vessels/vessels/minerva-emily-mmsi-229084000-imo-9380063
67,MARTINA 2,https://www.myshiptracking.com/vessels/vessels/martina-2-mmsi-244700833-imo-0
68,DOMPHOORN,https://www.myshiptracking.com/vessels/vessels/domphoorn-mmsi-244700259-imo-0
69,MSC YUKTA X,https://www.myshiptracking.com/vessels/vessels/msc-yukta-x-mmsi-636022658-imo-0
70,UNI SUPPLY 1,https://www.myshiptracking.com/vessels/vessels/uni-supply-1-mmsi-563033240-imo-9704037
71,LENA-ADRIANA,https://www.myshiptracking.com/vessels/vessels/lena-adriana-mmsi-244670504-imo-0
