,Unnamed: 0,Vessel_Name,URL,Location,Time,Latitude,Longtitude,Time
0,0,VB CAMARGUE,https://www.myshiptracking.com/vessels/vessels/vb-camargue-mmsi-228279900-imo-9393694,43.39752° / 4.98412°,2025-04-29 06:53,43.39752° , 4.98410°,2025-04-29 07:05
1,1,ZOUAVE,https://www.myshiptracking.com/vessels/vessels/zouave-mmsi-226009440-imo-0,48.86407° / 2.30969°,2025-04-29 06:54,,,
2,2,ANDREW MORAN,https://www.myshiptracking.com/vessels/vessels/andrew-moran-mmsi-368217490-imo-1317731,30.01503° / -93.99201°,2025-04-29 06:51,,,
3,3,CAP PINEDE,https://www.myshiptracking.com/vessels/vessels/cap-pinede-mmsi-228306800-imo-9539004,43.40317° / 4.98883°,2025-04-29 06:54,,,
4,4,UK104 EBEN HAEZER,https://www.myshiptracking.com/vessels/vessels/uk104-eben-haezer-mmsi-245345000-imo-9219757,52.65917° / 5.60023°,2025-04-29 06:54,,,
5,5,GALINA,https://www.myshiptracking.com/vessels/vessels/galina-mmsi-244780614-imo-0,51.69965° / 5.05694°,2025-04-29 06:54,,,
6,6,SEELOEWE,https://www.myshiptracking.com/vessels/vessels/seeloewe-mmsi-218054320-imo-6609705,54.06811° / 11.02494°,2025-04-29 06:53,,,
7,7,XING FU HAI,https://www.myshiptracking.com/vessels/vessels/xing-fu-hai-mmsi-563174700-imo-9949302,43.81388° / 8.27371°,2025-04-29 06:53,,,
8,8,GLEAM,https://www.myshiptracking.com/vessels/vessels/gleam-mmsi-366912160-imo-,31.15710° / -81.49960°,2025-04-29 06:51,,,
9,9,MEJURI,https://www.myshiptracking.com/vessels/vessels/mejuri-mmsi-244219047-imo-0,52.48898° / 5.33852°,2025-04-29 06:53,,,
10,10,OBSESSION,https://www.myshiptracking.com/vessels/vessels/obsession-mmsi-503098630-imo-,,,,,
11,11,LA BOHEME,https://www.myshiptracking.com/vessels/vessels/la-boheme-mmsi-276013890-imo-,,,,,
12,12,KEIWA MARU,https://www.myshiptracking.com/vessels/vessels/keiwa-maru-mmsi-431021033-imo-9990466,,,,,
13,13,SC JADE,https://www.myshiptracking.com/vessels/vessels/sc-jade-mmsi-244103000-imo-0,,,,,
14,14,GEISNES,https://www.myshiptracking.com/vessels/vessels/geisnes-mmsi-257253400-imo-8805353,,,,,
15,15,LL91 KRISTINA,https://www.myshiptracking.com/vessels/vessels/ll91-kristina-mmsi-266437000-imo-0,,,,,
16,16,SALISH EAGLE,https://www.myshiptracking.com/vessels/vessels/salish-eagle-mmsi-316030626-imo-9750282,,,,,
17,17,STAVROS,https://www.myshiptracking.com/vessels/vessels/stavros-mmsi-237352400-imo-8973136,,,,,
18,18,ALANOUD,https://www.myshiptracking.com/vessels/vessels/alanoud-mmsi-447344000-imo-9777503,,,,,
19,19,C13556BC,https://www.myshiptracking.com/vessels/vessels/c13556bc-mmsi-316005875-imo-,,,,,
20,20,F/V QUENTIN GREGOIRE,https://www.myshiptracking.com/vessels/vessels/f-v-quentin-gregoire-mmsi-228240600-imo-0,,,,,
21,21,CRANE BARGE 2,https://www.myshiptracking.com/vessels/vessels/crane-barge-2-mmsi-244670112-imo-0,,,,,
22,22,SYDNEE TAYLOR,https://www.myshiptracking.com/vessels/vessels/sydnee-taylor-mmsi-367149340-imo-0,,,,,
23,23,DURK,https://www.myshiptracking.com/vessels/vessels/durk-mmsi-244020081-imo-0,,,,,
24,24,4,https://www.myshiptracking.com/vessels/vessels/4-mmsi-993672363-imo-,,,,,
25,25,MARIA,https://www.myshiptracking.com/vessels/vessels/maria-mmsi-265615260-imo-0,,,,,
26,26,LOS113,https://www.myshiptracking.com/vessels/vessels/los113-mmsi-257076500-imo-0,,,,,
27,27,GEJA-S,https://www.myshiptracking.com/vessels/vessels/geja-s-mmsi-244700263-imo-0,,,,,
28,28,WOLLOCHET,https://www.myshiptracking.com/vessels/vessels/wollochet-mmsi-368404260-imo-0,,,,,
29,29,YM ORCHID,https://www.myshiptracking.com/vessels/vessels/ym-orchid-mmsi-636018263-imo-9198276,,,,,
30,30,IYONYA,https://www.myshiptracking.com/vessels/vessels/iyonya-mmsi-271049950-imo-9402847,,,,,
31,31,K-MARINE VIII,https://www.myshiptracking.com/vessels/vessels/k-marine-viii-mmsi-367529040-imo-1025301,,,,,
32,32,LISA,https://www.myshiptracking.com/vessels/vessels/lisa-mmsi-257087510-imo-,,,,,
33,33,NAUTILUS MAXI,https://www.myshiptracking.com/vessels/vessels/nautilus-maxi-mmsi-258269500-imo-8638449,,,,,
34,34,AQUA FIGHTER,https://www.myshiptracking.com/vessels/vessels/aqua-fighter-mmsi-258017890-imo-0,,,,,
35,35,LYNGOY,https://www.myshiptracking.com/vessels/vessels/lyngoy-mmsi-257017340-imo-0,,,,,
36,36,PHOENIX NL,https://www.myshiptracking.com/vessels/vessels/phoenix-nl-mmsi-244034555-imo-,,,,,
37,37,HERCULES MOON,https://www.myshiptracking.com/vessels/vessels/hercules-moon-mmsi-255802460-imo-9628623,,,,,
38,38,MSC CALEDONIA II,https://www.myshiptracking.com/vessels/vessels/msc-caledonia-ii-mmsi-636021518-imo-9262546,,,,,
39,39,LEDA,https://www.myshiptracking.com/vessels/vessels/leda-mmsi-244660537-imo-0,,,,,
40,40,TRIUMPH,https://www.myshiptracking.com/vessels/vessels/triumph-mmsi-306132000-imo-8902967,,,,,
41,41,KUNGSHATT,https://www.myshiptracking.com/vessels/vessels/kungshatt-mmsi-265549180-imo-0,,,,,
42,42,MIHO MARU,https://www.myshiptracking.com/vessels/vessels/miho-maru-mmsi-431002172-imo-0,,,,,
43,43,PUNTA EUROPA,https://www.myshiptracking.com/vessels/vessels/punta-europa-mmsi-263442253-imo-,,,,,
44,44,SP DIAMOND,https://www.myshiptracking.com/vessels/vessels/sp-diamond-mmsi-368351150-imo-1019888,,,,,
45,45,SLEEP ROBBER,https://www.myshiptracking.com/vessels/vessels/sleep-robber-mmsi-316005768-imo-0,,,,,
46,46,MINOTAVROS,https://www.myshiptracking.com/vessels/vessels/minotavros-mmsi-240588300-imo-,,,,,
47,47,SENTINEL,https://www.myshiptracking.com/vessels/vessels/sentinel-mmsi-236112687-imo-,,,,,
48,48,FOUR TURANDOT,https://www.myshiptracking.com/vessels/vessels/four-turandot-mmsi-248506000-imo-9480710,,,,,
49,49,EURODAM,https://www.myshiptracking.com/vessels/vessels/eurodam-mmsi-245206000-imo-9378448,,,,,
50,50,RCC PASSION,https://www.myshiptracking.com/vessels/vessels/rcc-passion-mmsi-311048200-imo-9453107,,,,,
51,51,DUMBO II,https://www.myshiptracking.com/vessels/vessels/dumbo-ii-mmsi-247053140-imo-0,,,,,
52,52,HV42 JANNI,https://www.myshiptracking.com/vessels/vessels/hv42-janni-mmsi-219013708-imo-0,,,,,
53,53,MAHANA,https://www.myshiptracking.com/vessels/vessels/mahana-mmsi-232046194-imo-,,,,,
54,54,CAMANO SOUND,https://www.myshiptracking.com/vessels/vessels/camano-sound-mmsi-316030654-imo-5056561,,,,,
55,55,AMALEA,https://www.myshiptracking.com/vessels/vessels/amalea-mmsi-269057631-imo-0,,,,,
56,56,COURAGE,https://www.myshiptracking.com/vessels/vessels/courage-mmsi-253469000-imo-0,,,,,
57,57,FIONIA SEA,https://www.myshiptracking.com/vessels/vessels/fionia-sea-mmsi-255816000-imo-9395343,,,,,
58,58,MASTODONT,https://www.myshiptracking.com/vessels/vessels/mastodont-mmsi-244780611-imo-0,,,,,
