,cable_name,count
0,connected-coast,113
1,2africa,50
2,bt-highlands-and-islands-submarine-cable-system,39
3,philippine-domestic-submarine-cable-network-pdscn,32
4,r100-north,30
5,piano-isole-minori,29
6,arcos,23
7,converge-domestic-submarine-cable-network-cdscn,22
8,asia-africa-europe-1-aae-1,21
9,falcon,20
10,palapa-ring-middle,19
11,seamewe-6,18
12,seamewe-5,18
13,palapa-ring-east,18
14,thetis,17
15,southern-caribbean-fiber,16
16,south-america-1-sam-1,16
17,submarine-cable-in-the-philippines-scip,16
18,africa-coast-to-europe-ace,16
19,n0r5ke-viking,16
20,america-movil-submarine-cable-system-1-amx-1,15
21,medusa-submarine-cable-system,15
22,au-aleutian,15
23,n0r5ke-viking-2,15
24,eastern-caribbean-fiber-system-ecfs,14
25,kumul-domestic-submarine-cable-system,14
26,seamewe-4,14
27,flag-europe-asia-fea,14
28,peace-cable,14
29,brazilian-festoon,13
30,bahamas-domestic-submarine-network-bdsni,13
31,lfon-libyan-fiber-optic-network,13
32,asia-america-gateway-aag-cable-system,13
33,norte-conectado-infovia-02,13
34,kochi-lakshadweep-islands-kli-sofc,12
35,barat-timur-indonesia-2-bti-2,12
36,palapa-ring-west,12
37,europe-india-gateway-eig,12
38,prat,12
39,pldt-domestic-fiber-optic-network-dfon,12
40,venezuelan-festoon,12
41,asia-connect-cable-1-acc-1,11
42,aqualink,11
43,natitua,11
44,west-africa-cable-system-wacs,11
45,norte-conectado-infovia-01,11
46,india-europe-xpress-iex,11
47,indonesia-global-gateway-igg-system,11
48,terra-sw,11
49,aurora,11
50,eac-c2c,11
51,blue,11
52,jaka2ladema,11
53,sat-3wasc,11
54,africa-1,11
55,pacific-caribbean-cable-system-pccs,10
56,polar-express,10
57,southeast-asia-japan-cable-2-sjc2,10
58,southern-cross-cable-network-sccn,10
59,tam-1,10
60,south-american-crossing-sac,10
61,asia-pacific-gateway-apg,10
62,hawaiki-nui-1,10
63,imewe,9
64,apricot,9
65,gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,9
66,eastern-africa-submarine-system-eassy,9
67,5-villages-6-islands,9
68,okinawa-remote-islands,9
69,japan-information-highway-jih,9
70,taiwan-penghu-kinmen-matsu-no-3-tpkm3,9
71,chennai-andaman-nicobar-islands-cable-cani,9
72,smpcs-packet-1,9
73,norfest,8
74,asia-link-cable-alc,8
75,norte-conectado-infovia-03,8
76,caribbean-regional-communications-infrastructure-program-carcip,8
77,globenet,8
78,canalink,8
79,smpcs-packet-2,8
80,tata-tgn-gulf,8
81,bifrost,8
82,domestic-submarine-cable-of-maldives-dscom,8
83,dhiraagu-cable-network,8
84,shefa-2,7
85,seacomtata-tgn-eurasia,7
86,sea-us,7
87,americas-ii,7
88,mataram-kupang-cable-system-mkcs,7
89,polar-circle-cable,7
90,jasuka,7
91,paniolo-cable-network,7
92,echo,7
93,ioema,7
94,alaska-united-southeast-au-se,7
95,india-asia-xpress-iax,7
96,new-cross-pacific-ncp-cable-system,7
97,hawaiki,7
98,hawaii-island-fibre-network-hifn,7
99,gondwana-2picot-2,7
100,maya-1,7
101,israel-coasting-1-ic-1,7
102,jakarta-bangka-bintan-batam-singapore-b3js,7
103,bahamas-internet-cable-system-bics,7
104,azores-fiber-optic-system-afos,7
105,st-thomas-st-croix-system,7
106,cabo-verde-telecom-domestic-submarine-cable-phase-3,7
107,tui-samoa,6
108,coral-sea-cable-system-cs,6
109,ellalink,6
110,barat-timur-indonesia-1-bti-1,6
111,safe,6
112,eaufon-3,6
113,mednautilus-submarine-system,6
114,ice-iv,6
115,asia-direct-cable-adc,6
116,quintillion-subsea-cable-network,6
117,raman,6
118,emc-west-2,6
119,tasman-ring-network,6
120,projeto-amaznia-conectada-pac-01,6
121,cyclades-a,6
122,b2js-jakarta-bangka-batam-singapore-cable-system,6
123,maroc-telecom-west-africa,6
124,hawaiian-islands-fiber-link-hifl,6
125,manta,6
126,emc-west-1,6
127,manatua,6
