,id_left,name_left,is_tbd,geometry,index_right,id_right,name_right,color,feature_id,coordinates,geometry_type
0,hulhumale-maldives,"Hulhumale, Maldives",False,POINT (73.54015885755544 4.211942635751779),,,,,,,
1,kulhudhufushi-maldives,"Kulhudhufushi, Maldives",False,POINT (73.07140918962199 6.622441345756148),,,,,,,
2,eydhafushi-maldives,"Eydhafushi, Maldives",False,POINT (73.07082325253708 5.10323036500878),,,,,,,
3,dhangethi-maldives,"Dhangethi, Maldives",False,POINT (72.95558895917019 3.608093477293043),,,,,,,
4,gan-maldives,"Gan, Maldives",False,POINT (73.54465104187312 1.918411782935871),,,,,,,
5,gahdhoo-maldives,"Gahdhoo, Maldives",False,POINT (73.45549094878496 0.288802003782011),,,,,,,
6,diego-garcia-british-indian-ocean-territory,"Diego Garcia, British Indian Ocean Territory",False,POINT (72.416672 -7.333330000000503),,,,,,,
7,hithadhoo-maldives,"Hithadhoo, Maldives",False,POINT (73.08918261453131 -0.606021265123826),,,,,,,
8,fuvahmulah-maldives,"Fuvahmulah, Maldives",False,POINT (73.42687768780485 -0.298304384685104),,,,,,,
9,port-gentil-gabon,"Port Gentil, Gabon",False,POINT (8.781610983118252 -0.721040306475029),,,,,,,
10,lusk-ireland,"Lusk, Ireland",False,POINT (-6.165888193558025 53.52625445974578),,,,,,,
11,tobruk-libya,"Tobruk, Libya",False,POINT (23.960311167883617 32.079604155442446),,,,,,,
12,al-bayda-libya,"Al Bayda, Libya",False,POINT (21.74166039584776 32.88172722141822),,,,,,,
13,tolmeta-libya,"Tolmeta, Libya",False,POINT (20.949961737944495 32.71673198238239),,,,,,,
14,benghazi-libya,"Benghazi, Libya",False,POINT (20.066759238613432 32.11658375707056),,,,,,,
15,brega-libya,"Brega, Libya",False,POINT (19.576525210899817 30.378108493012235),,,,,,,
16,ras-lanuf-libya,"Ras Lanuf, Libya",False,POINT (18.41187759844718 30.586737502695293),,,,,,,
17,sirte-libya,"Sirte, Libya",False,POINT (16.588343734005548 31.205251640496304),,,,,,,
18,misuratah-libya,"Misuratah, Libya",False,POINT (15.094790104552972 32.37427884369104),,,,,,,
19,kaliko-haiti,"Kaliko, Haiti",False,POINT (-72.60871221858814 18.86458746066303),,,,,,,
20,kristinelund-sweden,"Kristinelund, Sweden",False,POINT (12.588639536183623 56.134734209506526),,,,,,,
21,tinian-northern-mariana-islands,"Tinian, Northern Mariana Islands",False,POINT (145.63747106439294 15.011127130087093),,,,,,,
22,saipan-northern-mariana-islands,"Saipan, Northern Mariana Islands",False,POINT (145.7509475465053 15.1777319139343),,,,,,,
23,rota-northern-mariana-islands,"Rota, Northern Mariana Islands",False,POINT (145.21247136546685 14.151844706294286),,,,,,,
24,vila-olga-virgin-islands-u-s-,"Vila Olga, Virgin Islands (U.S.)",False,POINT (-64.94802428611733 18.335728451477152),,,,,,,
25,banana-bay-virgin-islands-u-s-,"Banana Bay, Virgin Islands (U.S.)",False,POINT (-64.94377624225066 18.328219740149585),,,,,,,
26,flamingo-bay-virgin-islands-u-s-,"Flamingo Bay, Virgin Islands (U.S.)",False,POINT (-64.95778990419826 18.312830498451948),,,,,,,
27,tortola-virgin-islands-u-k-,"Tortola, Virgin Islands (U.K.)",False,POINT (-64.5972432846129 18.414781849275833),,,,,,,
28,great-bay-virgin-islands-u-s-,"Great Bay, Virgin Islands (U.S.)",False,POINT (-64.84319037600663 18.322472111215845),,,,,,,
29,brewers-bay-virgin-islands-u-s-,"Brewer's Bay, Virgin Islands (U.S.)",False,POINT (-64.97531918865539 18.342402587783717),,,,,,,
30,frederiksted-virgin-islands-u-s-,"Frederiksted, Virgin Islands (U.S.)",False,POINT (-64.88152042697823 17.71242997088509),,,,,,,
31,christiansted-virgin-islands-virgin-islands-u-s-,"Christiansted, Virgin Islands, Virgin Islands (U.S.)",False,POINT (-64.70315141271153 17.746660579229843),,,,,,,
32,carrickfergus-united-kingdom,"Carrickfergus, United Kingdom",False,POINT (-5.808173603216411 54.71367039332284),,,,,,,
33,saltcoats-united-kingdom,"Saltcoats, United Kingdom",False,POINT (-4.783516125969337 55.63758019678909),,,,,,,
34,douglas-isle-of-man,"Douglas, Isle of Man",False,POINT (-4.480879621608963 54.15027516173659),,,,,,,
35,ballyhornan-united-kingdom,"Ballyhornan, United Kingdom",False,POINT (-5.559394482578845 54.302044891271954),,,,,,,
36,silecroft-beach-united-kingdom,"Silecroft Beach, United Kingdom",False,POINT (-3.35714994891956 54.21062739961812),,,,,,,
37,groudle-bay-isle-of-man,"Groudle Bay, Isle of Man",False,POINT (-4.423897240100775 54.16697942720116),,,,,,,
38,peel-isle-of-man,"Peel, Isle of Man",False,POINT (-4.691426347455632 54.22244748636314),,,,,,,
39,ballywater-united-kingdom,"Ballywater, United Kingdom",False,POINT (-5.484394535704497 54.542741580201856),,,,,,,
40,port-grenaugh-isle-of-man,"Port Grenaugh, Isle of Man",False,POINT (-4.566670576458828 54.09999306170466),,,,,,,
41,kristiansand-norway,"Kristiansand, Norway",False,POINT (7.996259976968266 58.15095596477219),,,,,,,
42,monte-carlo-monaco,"Monte Carlo, Monaco",False,POINT (7.42721741133341 43.73973086446908),,,,,,,
43,otranto-italy,"Otranto, Italy",False,POINT (18.48570567114653 40.14805341338409),,,,,,,
44,umag-croatia,"Umag, Croatia",False,POINT (13.520181845020224 45.43310919075176),,,,,,,
45,mestre-italy,"Mestre, Italy",False,POINT (12.244108530252593 45.49587287439114),,,,,,,
46,vaasa-finland,"Vaasa, Finland",False,POINT (21.6163675158564 63.09519496029314),,,,,,,
47,ume-sweden,"Umeå, Sweden",False,POINT (20.262950505879612 63.82586986108827),,,,,,,
48,nynashamn-sweden,"Nynashamn, Sweden",False,POINT (17.94654589684356 58.902924681852696),,,,,,,
49,meremisa-estonia,"Meremöisa, Estonia",False,POINT (24.276619537558968 59.40084650364711),,,,,,,
50,dubrovnik-croatia,"Dubrovnik, Croatia",False,POINT (18.106409064843877 42.64186152795143),,,,,,,
51,aethos-greece,"Aethos, Greece",False,POINT (20.01544924229398 39.683615198996556),,,,,,,
52,corfu-greece,"Corfu, Greece",False,POINT (19.9194937179377 39.61929827180403),,,,,,,
53,durres-albania,"Durres, Albania",False,POINT (19.45006045673864 41.316693174085714),,,,,,,
54,bridgetown-barbados,"Bridgetown, Barbados",False,POINT (-59.61336009649245 13.098954014787664),,,,,,,
55,castries-saint-lucia,"Castries, Saint Lucia",False,POINT (-61.00681614060512 13.994222056803721),,,,,,,
56,pointe-a-pitre-guadeloupe,"Pointe-a-Pitre, Guadeloupe",False,POINT (-61.53308529904113 16.241044022954217),,,,,,,
57,roseau-dominica,"Roseau, Dominica",False,POINT (-61.37073189842878 15.251799221840017),,,,,,,
58,the-valley-anguilla,"The Valley, Anguilla",False,POINT (-63.0572053130902 18.217405253293137),,,,,,,
59,santos-brazil,"Santos, Brazil",False,POINT (-46.32806677354495 -23.961845467703107),,,,,,,
60,al-khums-libya,"Al Khums, Libya",False,POINT (14.26441959904531 32.64966152384897),,,,,,,
61,zawia-libya,"Zawia, Libya",False,POINT (12.529752859149395 32.774720416295295),,,,,,,
62,zuwara-libya,"Zuwara, Libya",False,POINT (12.083366456623823 32.93337907602355),,,,,,,
63,hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",False,POINT (-118.39954892055475 33.862232632157735),,,,,,,
64,sandy-point-vic-australia,"Sandy Point, VIC, Australia",False,POINT (146.11969728527944 -38.82018266620627),,,,,,,
65,four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",False,POINT (146.85016551780996 -41.03327707528322),,,,,,,
66,mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",False,POINT (147.07125911118302 -38.44361560267599),,,,,,,
67,stanley-tas-australia,"Stanley, TAS, Australia",False,POINT (145.29411193263084 -40.760375144220674),,,,,,,
68,inverloch-vic-australia,"Inverloch, VIC, Australia",False,POINT (145.72946318672496 -38.63345276915476),,,,,,,
69,boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",False,POINT (145.62379919907835 -40.95086828582336),,,,,,,
70,balboa-panama,"Balboa, Panama",False,POINT (-79.56667848090554 8.950027090049982),,,,,,,
71,manta-ecuador,"Manta, Ecuador",False,POINT (-80.71618938533148 -0.950019548909037),,,,,,,
72,hudishibana-aruba,"Hudishibana, Aruba",False,POINT (-70.04997379684741 12.616634445885316),,,,,,,
73,tyra-denmark,"Tyra, Denmark",False,POINT (4.748508371456093 55.71560692113311),,,,,,,
74,valdemar-denmark,"Valdemar, Denmark",False,POINT (4.564328814430503 55.80407237566748),,,,,,,
75,south-arne-denmark,"South Arne, Denmark",False,POINT (4.228391552411684 56.07828845791397),,,,,,,
76,ajaccio-france,"Ajaccio, France",False,POINT (8.738642263557752 41.91932911005837),,,,,,,
